id,collection_code,objectid,objectname,originalname,itemtype,comment,image_link,link_bgg
682ae748-eaad-4131-a538-ba79641560ce,0LXSM,41,¡No puedo parar!,Can't Stop,standalone,,https://cf.geekdo-images.com/nMitZr9Lu4Ux7LLqBy7Z8A__original/img/A_bSjGJJXDFfSocVclabxi8ArY8=/0x0/filters:format(png)/pic6875169.png,https://boardgamegeek.com/boardgame/41/cant-stop
7cc1dff1-6d4c-4f2b-8f5c-854f4589dbe7,0LXSM,207830,5-Minute Dungeon,5-Minute Dungeon,standalone,,https://cf.geekdo-images.com/bFZKvxPJ23dzGwgpOg-mIA__original/img/Pi321k82TYCMy0v6GqKZ3LHvBYM=/0x0/filters:format(png)/pic3213622.png,https://boardgamegeek.com/boardgame/207830/5-minute-dungeon
5edd6172-2757-4a3b-972f-310e241cce03,0LXSM,313008,Apollo: A Game Inspired by NASA Moon Missions,Apollo: A Game Inspired by NASA Moon Missions,standalone,,https://cf.geekdo-images.com/Y6PC5moGta-awvovb4tLxQ__original/img/w0BJIAARsUYhWK3H4g9GwFdPOzI=/0x0/filters:format(jpeg)/pic6149144.jpg,https://boardgamegeek.com/boardgame/313008/apollo-a-game-inspired-by-nasa-moon-missions
40fed64b-7f09-4e8a-8215-4988eed7ee64,0LXSM,118,Arte Moderno,Modern Art,standalone,,https://cf.geekdo-images.com/wLto-xaabHwKQe_Bc4iD1Q__original/img/s3Gai8XBTVfWFFlYpL4XF3kIlWU=/0x0/filters:format(png)/pic3458036.png,https://boardgamegeek.com/boardgame/118/modern-art
b130a87d-afdf-4da0-ae17-428c684150f9,0LXSM,211534,Bears vs Babies,Bears vs Babies,standalone,,https://cf.geekdo-images.com/2BZROogBECvPPF2780wlvg__original/img/LAUIOIEPo54Qis-r8FDiE6kqqh4=/0x0/filters:format(jpeg)/pic5521191.jpg,https://boardgamegeek.com/boardgame/211534/bears-vs-babies
9cc6eb03-b972-4fd0-ba08-d1844bc0eaeb,0LXSM,10547,Betrayal at House on the Hill,Betrayal at House on the Hill,standalone,,https://cf.geekdo-images.com/lqmt2Oti_qJS65XqHcB8AA__original/img/7R6yYk8A2eUMmSDaxGjae5SceGI=/0x0/filters:format(png)/pic5146864.png,https://boardgamegeek.com/boardgame/10547/betrayal-at-house-on-the-hill
2922936a-6294-4fdd-898a-7a1171dd0c83,0LXSM,383009,Block Block Burrito,Block Block Burrito,expansion,,https://cf.geekdo-images.com/gXfHgATqHT53ywh40PbkLA__original/img/pjQQUPLVVbgIqPgfM97CFrp867Q=/0x0/filters:format(png)/pic7428154.png,https://boardgamegeek.com/boardgameexpansion/383009/block-block-burrito
bf4da679-5ace-4a3d-b67b-6ef1ac46679d,0LXSM,413246,Bomb Busters,Bomb Busters,standalone,,https://cf.geekdo-images.com/HpGXIlt5i6T-0jbiQRReOg__original/img/2uApg8IOYjNVSzbUIwJUa-Z8eL8=/0x0/filters:format(png)/pic8303080.png,https://boardgamegeek.com/boardgame/413246/bomb-busters
16bbe2a1-c5ab-4f47-bd3d-cae3f11ac89e,0LXSM,332386,Brew,Brew,standalone,,https://cf.geekdo-images.com/8eN5t1p4ncee-eVN9NswDA__original/img/Hhv8kruqZZH1vv5W7gR7QXNZ_KM=/0x0/filters:format(png)/pic6007253.png,https://boardgamegeek.com/boardgame/332386/brew
8064a9bc-11f6-44c6-be40-dfd08ed210a1,0LXSM,359502,Casting Shadows,Casting Shadows,standalone,,https://cf.geekdo-images.com/FLE6snOm5xbufQixZ7DUIA__original/img/3IRmWsZrQMZwVLjM02Po7hjcORk=/0x0/filters:format(jpeg)/pic6806844.jpg,https://boardgamegeek.com/boardgame/359502/casting-shadows
